location,price,m2,price/m2,details,floor,build
"град Велико Търново, Акация",29 000 EUR,28 m2,(1036 EUR/m2),Продава 1-СТАЕН,Партер от 10,Строителство: Тухла
"град Велико Търново, Акация",29 000 EUR,28 m2,(1036 EUR/m2),Продава 1-СТАЕН,Партер от 6,Строителство: Тухла
"град Велико Търново, Акация",29 000 EUR,28 m2,(1036 EUR/m2),Продава 1-СТАЕН,Партер от 10,"Строителство: Тухла, 1980 г."
"град Велико Търново, Акация",29 000 EUR,28 m2,(1036 EUR/m2),Продава 1-СТАЕН,Партер от 7,"Строителство: Тухла, 1995 г."
"град Велико Търново, Акация",36 600 EUR,42 m2,(871 EUR/m2),Продава 1-СТАЕН,"Тухла, 2010 г.","
"
"град Велико Търново, Акация",58 000 EUR,37 m2,(1568 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Акация",62 000 EUR,50 m2,(1240 EUR/m2),Продава 1-СТАЕН,2-ри от 3,"Строителство: Тухла, 2000 г."
"град Велико Търново, Бузлуджа",26 000 EUR,22 m2,(1182 EUR/m2),Продава 1-СТАЕН,4-ти от 4,Газ: НЕ
"град Велико Търново, Бузлуджа",26 000 EUR,22 m2,(1182 EUR/m2),Продава 1-СТАЕН,4-ти от 4,Строителство: Тухла
"град Велико Търново, Бузлуджа",51 000 лв.,28 m2,(1821 лв./m2),Продава 1-СТАЕН,4-ти от 4,Строителство: Тухла
"град Велико Търново, Бузлуджа",26 600 EUR,25 m2,(1064 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",27 000 EUR,24 m2,(1125 EUR/m2),Продава 1-СТАЕН,"Тухла, 2020 г.","
"
"град Велико Търново, Бузлуджа",27 000 EUR,25 m2,(1080 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",28 000 EUR,22 m2,(1273 EUR/m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",55 000 лв.,25 m2,(2200 лв./m2),Продава 1-СТАЕН,2-ри от 3,Строителство: Тухла
"град Велико Търново, Бузлуджа",64 000 лв.,22 m2,(2909 лв./m2),Продава 1-СТАЕН,Тухла,"
"
"град Велико Търново, Бузлуджа",75 000 лв.,42 m2,(1786 лв./m2),Продава 1-СТАЕН,Панел,"
"
"град Велико Търново, Бузлуджа",48 600 EUR,58 m2,(838 EUR/m2),Продава 1-СТАЕН,6-ти от 6,"Строителство: Тухла, 2017 г."
"град Велико Търново, Бузлуджа",54 700 EUR,57 m2,(960 EUR/m2),Продава 1-СТАЕН,6-ти от 6,Строителство: Тухла
"град Велико Търново, Зона Б",36 000 EUR,29 m2,(1241 EUR/m2),Продава 1-СТАЕН,1-ви от 5,Строителство: Тухла
"град Велико Търново, Зона Б",36 050 EUR,45 m2,(801 EUR/m2),Продава 1-СТАЕН,2-ри от 6,Строителство: Панел
"град Велико Търново, Картала",37 000 EUR,33 m2,(1121 EUR/m2),Продава 1-СТАЕН,8-ми от 8,Строителство: Тухла
"град Велико Търново, Картала",57 000 EUR,39 m2,(1462 EUR/m2),Продава 1-СТАЕН,"Тухла, 2020 г.","
"
"град Велико Търново, Колю Фичето",35 100 EUR,57 m2,(616 EUR/m2),Продава 1-СТАЕН,3-ти от 6,Газ: ДА
